Blade_length,EAN,Handle,img,img_url
50 mm,4003773035565,"insulating multi-component handle, VDE-tested",https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98524k.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98524k.jpg
38 mm,4003773022558,"insulating multi-component handle, VDE-tested",https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98554k.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98554k.jpg
26 16 200,4003773052166,7225 g,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/002120-03-2.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/002120-03-2.jpg
"insulated with multi-component grips, VDE-tested",4003773075097,,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/1386200-01-3.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/1386200-01-3.jpg
0 ,4003773021995,chrome plated,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/7006160-02-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/7006160-02-1.jpg
0 ,4003773033813,chrome plated,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/7006180-01-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/7006180-01-1.jpg
1 ,4003773039648,chrome plated,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9516165-01-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9516165-01-1.jpg
 IEC 60900 DIN EN 60900,4003773026761,chrome plated,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9516200-01-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9516200-01-1.jpg
1 ,4003773040323,burnished,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9511165-00-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9511165-00-1.jpg
1 ,4003773029182,burnished,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9512165-00-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9512165-00-1.jpg
20 Ø mm,4003773047834,burnished,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9512200-00-1.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/9512200-00-1.jpg
32 Ø mm,4003773043935,black lacquered,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/95312504k.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/95312504k.jpg
Blade_length,EAN,Handle,img,img_url
50 mm,4003773035565,"insulating multi-component handle, VDE-tested",https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98524k.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98524k.jpg
38 mm,4003773022558,"insulating multi-component handle, VDE-tested",https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98554k.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/98554k.jpg
26 16 200,4003773052166,7225 g,https://www.knipex.com/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/002120-03-2.jpg,/fileadmin/site/knipex/scripts/mediando/images/KNIPEX/Produktfotos/web/zoom/002120-03-2.jpg
