author,tags,text
"
    Marilyn Monroe
  ","attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst","
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  "
"
    Oscar Wilde
  ","attributed-no-source,be-yourself,honesty,inspirational,misattributed-oscar-wilde","
      “Be yourself; everyone else is already taken.”
  "
"
    Albert Einstein
  ","attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe","
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  "
"
    Frank Zappa
  ","books,humor","
      “So many books, so little time.”
  "
"
    Bernard M. Baruch
  ","ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter","
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  "
"
    Marcus Tullius Cicero
  ","attributed-no-source,books,simile,soul","
      “A room without books is like a body without a soul.”
  "
"
    William W. Purkey
  ","dance,heaven,hurt,inspirational,life,love,sing","
      “You've gotta dance like there's nobody watching,"
"
    Dr. Seuss
  ","attributed-no-source,dreams,love,reality,sleep","
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  "
"
    Mae West
  ","humor,life","
      “You only live once, but if you do it right, once is enough.”
  "
"
    Mahatma Gandhi
  ","action,change,inspirational,philosophy,wish","
      “Be the change that you wish to see in the world.”
  "
"
    Robert Frost
  ",life,"
      “In three words I can sum up everything I've learned about life: it goes on.”
  "
"
    J.K. Rowling,
  ,
      ",,"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  "
"
    Albert Camus
  ","attributed-no-source,friends,friendship,misattributed-albert-camus","
      “Don’t walk in front of me… I may not follow"
"
    Eleanor Roosevelt,
  ,
      ","confidence,inspirational,wisdom","
      “No one can make you feel inferior without your consent.”
  "
"
    C.S. Lewis,
  ,
      ",friendship,"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  "
"
    Mark Twain
  ","lies,lying,memory,truth","
      “If you tell the truth, you don't have to remember anything.”
  "
"
    Maya Angelou
  ",,"
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  "
"
    Elbert Hubbard
  ","friend,friendship,knowledge,love","
      “A friend is someone who knows all about you and still loves you.”
  "
"
    Oscar Wilde
  ","attributed-no-source,enemies,forgiveness,strategy","
      “Always forgive your enemies; nothing annoys them so much.”
  "
"
    Oscar Wilde
  ",life,"
      “To live is the rarest thing in the world. Most people exist, that is all.”
  "
"
    Mahatma Gandhi
  ","carpe-diem,education,inspirational,learning","
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  "
"
    Martin Luther King Jr.,
  ,
      ","darkness,drive-out,hate,inspirational,light,love,peace","
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  "
"
    Oscar Wilde,
  ,
      ","intelligence,self-deprecation","
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  "
"
    Friedrich Nietzsche,
  ,
      ","inspirational,music,philosophy","
      “Without music, life would be a mistake.”
  "
"
    Stephen Chbosky,
  ,
      ","inspirational,love","
      “We accept the love we think we deserve.”
  "
"
    Ralph Waldo Emerson
  ","accomplishment,attributed-no-source,be-yourself,conformity,individuality","
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  "
"
    Rob Siltanen
  ","advertising,apple,change,commercial,computers,different,madness,misattributed-apple,misattributed-steve-jobs,misfits,nonconformity,progressive,rebels,status-quo,think-different,troublemakers","
      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”
  "
"
    Narcotics Anonymous
  ","humor,insanity,life,misattributed-ben-franklin,misattributed-mark-twain,misattributed-to-einstein","
      “Insanity is doing the same thing, over and over again, but expecting different results.”
  "
"
    Marilyn Monroe
  ","attributed-no-source,misattributed-marilyn-monroe","
      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”
  "
"
    H. Jackson Brown Jr.,
  ,
      ","actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail","
      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
  "
"
    Andre Gide,
  ,
      ","life,love","
      “It is better to be hated for what you are than to be loved for what you are not.”
  "
"
    Bob Marley
  ",love,"
      “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”
  "
"
    J.R.R. Tolkien,
  ,
      ","frost,glitter,gold,lost,poetry,roots,strength,strong,wander,wither","
      “All that is gold does not glitter,"
"
    J.K. Rowling,
  ,
      ","abilities,choices","
      “It is our choices, Harry, that show what we truly are, far more than our abilities.”
  "
"
    Marilyn Monroe
  ","attributed-no-source,be-yourself,inspirational","
      “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”
  "
"
    Jane Austen,
  ,
      ","aliteracy,books,classic,humor","
      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  "
"
    J.K. Rowling,
  ,
      ","dreams,life","
      “It does not do to dwell on dreams and forget to live.”
  "
"
    Albert Einstein
  ","attributed-no-source,inspirational,life,live,miracle,miracles","
      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
  "
"
    John Green,
  ,
      ",love,"
      “As he read, I fell in love the way you fall asleep: slowly, and then all at once.”
  "
"
    Mark Twain
  ","books,contentment,friends,friendship,life","
      “Good friends, good books, and a sleepy conscience: this is the ideal life.”
  "
"
    Maurice Switzer,
  ,
      ","misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom","
      “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”
  "
"
    William Shakespeare,
  ,
      ",wisdom,"
      “The fool doth think he is wise, but the wise man knows himself to be a fool.”
  "
"
    Oscar Wilde,
  ,
      ","inspirational,optimism,perception,pessimism","
      “We are all in the gutter, but some of us are looking at the stars.”
  "
"
    Allen Saunders
  ","fate,life,misattributed-john-lennon,planning,plans","
      “Life is what happens to us while we are making other plans.”
  "
"
    Mark Twain
  ","individuality,majority,minority,pause,reflect,wisdom","
      “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”
  "
"
    Neil Gaiman,
  ,
      ","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton","
      “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”
  "
"
    Bill Keane
  ","attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed","
      “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”
  "
"
    Thomas A. Edison
  ","edison,failure,inspirational,paraphrased","
      “I have not failed. I've just found 10,000 ways that won't work.”
  "
"
    Eleanor Roosevelt
  ","attributed-no-source,misattributed-eleanor-roosevelt","
      “A woman is like a tea bag; you never know how strong it is until it's in hot water.”
  "
"
    Mark Twain
  ","aliteracy,attributed-no-source,literacy","
      “The man who does not read has no advantage over the man who cannot read.”
  "
"
    Elie Wiesel
  ","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","
      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”
  "
